108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
108,254,b,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
73,254,g,
73,254,g,
73,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
73,254,g,
73,254,g,
73,254,g,
74,254,g,
74,254,g,
74,254,g,
74,254,g,
73,254,g,
73,254,g,
73,254,g,
10,254,o,
10,254,o,
10,254,o,
10,254,o,
9,254,o,
9,254,o,
10,254,o,
8,254,o,
8,254,o,
9,254,o,
10,254,o,
10,254,o,
10,254,o,
10,254,o,
9,254,o,
9,254,o,
9,254,o,
8,254,o,
8,254,o,
9,254,o,
10,254,o,
10,254,o,
9,242,o,
10,254,o,
9,254,o,
9,254,o,
10,254,o,
8,254,o,
8,254,o,
9,254,o,
9,254,o,
9,254,o,
9,252,o,
8,254,o,
8,254,o,
9,254,o,
3,210,r,
3,210,r,
3,216,r,
3,222,r,
3,218,r,
4,220,r,
3,216,r,
3,219,r,
4,227,r,
4,227,r,
3,210,r,
3,216,r,
3,215,r,
3,221,r,
3,209,r,
3,220,r,
4,220,r,
3,227,r,
4,223,r,
3,227,r,
3,210,r,
3,215,r,
3,210,r,
3,215,r,
3,221,r,
3,220,r,
3,216,r,
3,254,r,
4,227,r,
3,219,r,
3,215,r,
4,222,r,
3,222,r,
3,206,r,
4,226,r,
3,223,r,
105,44,w,
105,44,w,
103,46,w,
103,42,w,
102,51,w,
102,47,w,
103,47,w,
103,50,w,
103,42,w,
105,47,w,
105,44,w,
103,46,w,
103,46,w,
103,41,w,
102,51,w,
102,47,w,
102,47,w,
103,50,w,
103,42,w,
103,47,w,
103,42,w,
102,50,w,
103,48,w,
103,47,w,
103,50,w,
103,42,w,
103,47,w,
31,254,y,
31,254,y,
31,254,y,
31,254,y,
32,254,y,
32,254,y,
31,254,y,
32,254,y,
32,254,y,
32,254,y,
31,254,y,
31,254,y,
31,254,y,
31,254,y,
32,254,y,
31,254,y,
31,254,y,
32,254,y,
32,254,y,
32,254,y,
31,254,y,
31,254,y,
32,254,y,
31,254,y,
32,254,y,
32,254,y,
31,254,y,
32,254,y,
32,254,y,
32,254,y,
31,254,y,
31,254,y,
31,254,y,
32,254,y,
32,254,y,
31,254,y,
31,254,y,
32,254,y,
32,254,y,
32,254,y,
32,254,y,
32,254,y,
33,254,y,
32,254,y,
32,254,y,
